smiles,source
CN(C)c1cccc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)c1[C@]1(O)C[C@H]2CC[C@@H](C1)O2,derivative
CN(C)c1cccc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)c1-c1cncc2[nH]ccc12,derivative
CN(C)c1cccc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)c1C1([S@](C)(=N)=O)CC1,derivative
CN(C)c1cccc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)c1N(C)C,derivative
CN(C)c1cccc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)c1[C@]1(O)C[C@H]2CC[C@@H](C1)O2,derivative
CN(C)c1cccc(-c2cnc(C#N)cn2)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,derivative
CN(C)c1cccc(-c2cncc3[nH]ccc23)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,derivative
CN(C)c1cccc(-c2cncc3[nH]ccc23)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,derivative
CN(C)c1cccc(-c2cncc3[nH]ccc23)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,derivative
CN(C)c1cccc(C2([S@](C)(=N)=O)CC2)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,derivative
CN(C)c1cccc(C2([S@](C)(=N)=O)CC2)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,derivative
CN(C)c1cccc(C2([S@](C)(=N)=O)CC2)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,derivative
CN(C)c1cccc(N(C)C)c1-c1cc(-c2cnc(C#N)cn2)c2cnn(C3=NN=CC3)c2n1,derivative
CN(C)c1cccc(N(C)C)c1-c1cc(-c2cnc(C#N)cn2)nc2c1cnn2C1=NN=CC1,derivative
CN(C)c1cccc(N(C)C)c1-c1cc(-c2cncc3[nH]ccc23)c2cnn(C3=NN=CC3)c2n1,derivative
CN(C)c1cccc(N(C)C)c1-c1cc(-c2cncc3[nH]ccc23)nc2c1cnn2C1=NN=CC1,derivative
CN(C)c1cccc(N(C)C)c1-c1cc(C2([S@](C)(=N)=O)CC2)c2cnn(C3=NN=CC3)c2n1,derivative
CN(C)c1cccc(N(C)C)c1-c1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,derivative
CN(C)c1cccc(N(C)C)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,derivative
CN(C)c1cccc(N(C)C)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,derivative
CN(C)c1cccc(N(C)C)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,derivative
CN(C)c1cccc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c1-c1cc(-c2cncc3[nH]ccc23)c2cnn(C3=NN=CC3)c2n1,derivative
CN(C)c1cccc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c1-c1cc(-c2cncc3[nH]ccc23)nc2c1cnn2C1=NN=CC1,derivative
CN(C)c1cccc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c1-c1cc(C2([S@](C)(=N)=O)CC2)c2cnn(C3=NN=CC3)c2n1,derivative
CN(C)c1cccc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c1-c1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,derivative
CN(C)c1cccc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,derivative
CN(C)c1cccc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,derivative
CN(C)c1cccc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,derivative
