smiles,mol_wt,logp,tpsa
CN(C)c1cc(Nc2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)no1,436.4760000000001,2.394,126.19
CN(C)c1cc(Nc2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)on1,436.4760000000001,2.394,126.19
CN(C)c1cc(Oc2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)[nH]n1,427.4940000000001,2.31447,137.5
CN(C)c1cc(Oc2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)n[nH]1,427.4940000000001,2.31447,137.5
CN(C)c1cc(Oc2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)no1,428.4780000000001,2.579370000000001,134.85
CN(C)c1cc(Oc2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)on1,428.4780000000001,2.579370000000001,134.85
CN(C)c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,354.41400000000004,1.6623999999999999,88.13000000000001
CN(C)c1ccc(-c2cc(-c3cc(C4([S@](C)(=N)=O)CC4)nc4c3cnn4C3=NN=CC3)[nH]n2)cc1,487.59300000000025,3.8561700000000023,128.26999999999998
CN(C)c1ccc(-c2cc(-c3cc(C4([S@](C)(=N)=O)CC4)nc4c3cnn4C3=NN=CC3)n[nH]2)cc1,487.59300000000025,3.8561700000000023,128.27
CN(C)c1ccc(-c2cc(-c3cc(C4([S@](C)(=N)=O)CC4)nc4c3cnn4C3=NN=CC3)no2)cc1,488.5770000000003,4.121070000000003,125.62
CN(C)c1ccc(-c2cc(-c3cc(C4([S@](C)(=N)=O)CC4)nc4c3cnn4C3=NN=CC3)on2)cc1,488.5770000000003,4.121070000000003,125.62
CN(C)c1ccc(-c2cc(-c3cc(N(C)C)c4cnn(C5=NN=CC5)c4n3)nc3c2cnn3C2=NN=CC2)cc1,530.6000000000003,3.914200000000003,117.34
CN(C)c1ccc(-c2cc(-c3cc([C@]4(O)C[C@H]5CC[C@@H](C4)O5)nc4c3cnn4C3=NN=CC3)[nH]n2)cc1,496.57500000000016,3.719500000000002,116.81000000000002
CN(C)c1ccc(-c2cc(-c3cc([C@]4(O)C[C@H]5CC[C@@H](C4)O5)nc4c3cnn4C3=NN=CC3)n[nH]2)cc1,496.57500000000016,3.719500000000002,116.81
CN(C)c1ccc(-c2cc(-c3cc([C@]4(O)C[C@H]5CC[C@@H](C4)O5)nc4c3cnn4C3=NN=CC3)no2)cc1,497.5590000000002,3.9844000000000026,114.16000000000001
CN(C)c1ccc(-c2cc(-c3cc([C@]4(O)C[C@H]5CC[C@@H](C4)O5)nc4c3cnn4C3=NN=CC3)on2)cc1,497.5590000000002,3.9844000000000026,114.16000000000001
CN(C)c1ccc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)cc1,421.5300000000001,3.466070000000002,99.59
CN(C)c1ccc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)cc1,430.5120000000001,3.3294000000000024,88.13000000000001
CN(C)c1ccc(-c2ccc(-c3cc(C4([S@](C)(=N)=O)CC4)nc4c3cnn4C3=NN=CC3)cc2)cc1,497.62800000000027,5.1330700000000045,99.59
CN(C)c1ccc(-c2ccc(-c3cc([C@]4(O)C[C@H]5CC[C@@H](C4)O5)nc4c3cnn4C3=NN=CC3)cc2)cc1,506.61000000000024,4.996400000000004,88.13000000000001
CN(C)c1ccc(-c2cnc(N)c(-c3cc([C@]4(O)C[C@H]5CC[C@@H](C4)O5)nc4c3cnn4C3=NN=CC3)n2)cc1,523.6010000000002,3.3686000000000016,139.93
CN(C)c1ccc(-c2nc(-c3cc([C@]4(O)C[C@H]5CC[C@@H](C4)O5)nc4c3cnn4C3=NN=CC3)cnc2N)cc1,523.6010000000002,3.3686000000000007,139.93
CN(C)c1ccc(Oc2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)cc1,437.52900000000017,3.591370000000002,108.82
CN(C)c1cccc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)c1N(C)C,464.5990000000002,3.5320700000000027,102.83
CN(C)c1cccc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)c1[C@]1(O)C[C@H]2CC[C@@H](C1)O2,547.6850000000003,3.995070000000003,129.05
CN(C)c1cccc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)c1-c1cnc(C#N)cn1,533.5960000000002,3.6580800000000027,137.7
CN(C)c1cccc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)c1-c1cncc2[nH]ccc12,546.6350000000002,4.872700000000004,116.81
CN(C)c1cccc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)c1C1([S@](C)(=N)=O)CC1,547.6850000000001,3.995070000000003,129.05
CN(C)c1cccc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)c1N(C)C,473.5810000000002,3.395400000000002,91.37
CN(C)c1cccc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)c1[C@]1(O)C[C@H]2CC[C@@H](C1)O2,556.6670000000003,3.858400000000003,117.59000000000002
CN(C)c1cccc(-c2cnc(C#N)cn2)c1-c1cc(-c2cncc3[nH]ccc23)c2cnn(C3=NN=CC3)c2n1,523.5640000000002,4.672380000000004,136.92000000000002
CN(C)c1cccc(-c2cnc(C#N)cn2)c1-c1cc(-c2cncc3[nH]ccc23)nc2c1cnn2C1=NN=CC1,523.5640000000002,4.672380000000004,136.92000000000002
CN(C)c1cccc(-c2cnc(C#N)cn2)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,450.5100000000002,3.195080000000001,111.48
CN(C)c1cccc(-c2cnc(C#N)cn2)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,533.5960000000003,3.6580800000000018,137.7
CN(C)c1cccc(-c2cnc(C#N)cn2)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,533.5960000000003,3.6580800000000018,137.70000000000002
CN(C)c1cccc(-c2cncc3[nH]ccc23)c1-c1cc(-c2cnc(C#N)cn2)c2cnn(C3=NN=CC3)c2n1,523.5640000000002,4.672380000000005,136.92000000000002
CN(C)c1cccc(-c2cncc3[nH]ccc23)c1-c1cc(-c2cnc(C#N)cn2)nc2c1cnn2C1=NN=CC1,523.5640000000002,4.672380000000005,136.92
CN(C)c1cccc(-c2cncc3[nH]ccc23)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,463.5490000000002,4.4097000000000035,90.59
CN(C)c1cccc(-c2cncc3[nH]ccc23)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,546.6350000000002,4.8727000000000045,116.81000000000002
CN(C)c1cccc(-c2cncc3[nH]ccc23)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,546.6350000000002,4.8727000000000045,116.81
CN(C)c1cccc(C2([S@](C)(=N)=O)CC2)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,464.59900000000016,3.5320700000000027,102.83
CN(C)c1cccc(C2([S@](C)(=N)=O)CC2)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,547.6850000000002,3.9950700000000037,129.05
CN(C)c1cccc(C2([S@](C)(=N)=O)CC2)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,547.6850000000002,3.9950700000000037,129.05
CN(C)c1cccc(N(C)C)c1-c1cc(-c2cnc(C#N)cn2)c2cnn(C3=NN=CC3)c2n1,450.51000000000016,3.195080000000001,111.48
CN(C)c1cccc(N(C)C)c1-c1cc(-c2cnc(C#N)cn2)nc2c1cnn2C1=NN=CC1,450.51000000000016,3.195080000000001,111.47999999999999
CN(C)c1cccc(N(C)C)c1-c1cc(-c2cncc3[nH]ccc23)c2cnn(C3=NN=CC3)c2n1,463.54900000000015,4.4097000000000035,90.59
CN(C)c1cccc(N(C)C)c1-c1cc(-c2cncc3[nH]ccc23)nc2c1cnn2C1=NN=CC1,463.54900000000015,4.4097000000000035,90.59
CN(C)c1cccc(N(C)C)c1-c1cc(C2([S@](C)(=N)=O)CC2)c2cnn(C3=NN=CC3)c2n1,464.5990000000002,3.532070000000002,102.83
CN(C)c1cccc(N(C)C)c1-c1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,464.5990000000002,3.532070000000002,102.83000000000001
CN(C)c1cccc(N(C)C)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,390.4950000000001,2.9324000000000012,65.15
CN(C)c1cccc(N(C)C)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,473.58100000000024,3.395400000000002,91.37
CN(C)c1cccc(N(C)C)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,473.58100000000024,3.395400000000002,91.37
CN(C)c1cccc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c1-c1cc(-c2cnc(C#N)cn2)c2cnn(C3=NN=CC3)c2n1,533.5960000000001,3.6580800000000018,137.7
CN(C)c1cccc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c1-c1cc(-c2cnc(C#N)cn2)nc2c1cnn2C1=NN=CC1,533.5960000000001,3.6580800000000018,137.7
CN(C)c1cccc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c1-c1cc(-c2cncc3[nH]ccc23)c2cnn(C3=NN=CC3)c2n1,546.635,4.872700000000004,116.81000000000002
CN(C)c1cccc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c1-c1cc(-c2cncc3[nH]ccc23)nc2c1cnn2C1=NN=CC1,546.6350000000001,4.872700000000004,116.81
CN(C)c1cccc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c1-c1cc(C2([S@](C)(=N)=O)CC2)c2cnn(C3=NN=CC3)c2n1,547.6850000000001,3.995070000000003,129.05
CN(C)c1cccc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c1-c1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,547.6850000000002,3.995070000000003,129.05
CN(C)c1cccc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c1-c1cc(N(C)C)c2cnn(C3=NN=CC3)c2n1,473.5810000000002,3.395400000000002,91.37
CN(C)c1cccc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,556.6670000000001,3.858400000000003,117.59000000000002
CN(C)c1cccc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,556.6670000000001,3.858400000000003,117.59
CN(C)c1cnc(N)c(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)n1,447.50300000000016,1.7016,139.93
CN(C)c1cnc(N)c(-c2ccc(-c3cc([C@]4(O)C[C@H]5CC[C@@H](C4)O5)nc4c3cnn4C3=NN=CC3)cc2)n1,523.6010000000002,3.3686000000000025,139.93
CN(C)c1nc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)cnc1N,447.50300000000016,1.7015999999999996,139.93
CN(C)c1nc(-c2ccc(-c3cc([C@]4(O)C[C@H]5CC[C@@H](C4)O5)nc4c3cnn4C3=NN=CC3)cc2)cnc1N,523.6010000000001,3.3686000000000007,139.93
CNC[C@@H](C)Nc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,388.5010000000001,1.7528699999999995,120.41
CNC[C@@H](C)Nc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,397.48300000000006,1.6161999999999999,108.94999999999999
CNC[C@@H](C)Oc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,389.4850000000001,1.7197699999999998,117.60999999999999
CNCc1cc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)[nH]n1,411.49500000000006,1.8425699999999996,137.06
CNCc1cc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)n[nH]1,411.49500000000006,1.8425699999999996,137.06
CNCc1cc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)no1,412.4790000000001,2.1074699999999997,134.41
CNCc1cc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)on1,412.4790000000001,2.1074699999999997,134.41
CNCc1cc(-c2cc(N(C)C)c3cnn(C4=NN=CC4)c3n2)nc2c1cnn2C1=NN=CC1,454.5020000000002,1.9005999999999998,126.13
